{{Base item
|rarity_id                               = normal
|name                                    = Trinity Support
|class_id                                = Support Skill Gem
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 18
|tags                                    = support_gem, gem, default
|metadata_id                             = Metadata/Items/Gems/SupportGemTrinity
|help_text                               = This is a Support Gem. It does not grant a bonus to your character, but to skills in sockets connected to it. Place into an item socket connected to a socket containing the Active Skill Gem you wish to augment. Right click to remove from a socket.
|dexterity_percent                       = 40
|intelligence_percent                    = 60
|gem_tags                                = Support
|skill_id                                = SupportTrinity
|support_gem_letter                      = y
|required_level                          = 18
|quality_type1_weight                    = 100
|quality_type1_stat_text                 = Supported Skills deal 0.5% increased Elemental Damage
|quality_type1_stat1_id                  = elemental_damage_+%
|quality_type1_stat1_value               = 500
|quality_type2_weight                    = 50
|quality_type2_stat_text                 = Supported Skills have 0.25% chance to Freeze, Shock and Ignite
|quality_type2_stat1_id                  = chance_to_freeze_shock_ignite_%
|quality_type2_stat1_value               = 250
|quality_type3_weight                    = 20
|quality_type3_stat_text                 = Supported Skills convert 0.5% of Physical Damage to a random Element
|quality_type3_stat1_id                  = skill_convert_%_physical_damage_to_random_element
|quality_type3_stat1_value               = 500
|static_cost_multiplier                  = 140
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|static_stat1_id                         = gain_resonance_of_majority_damage_on_hit_for_2_seconds
|static_stat1_value                      = 1
|static_stat2_id                         = elemental_damage_+%_final_per_5_lowest_resonance
|static_stat2_value                      = 3
|stat_text                               = Hits with Supported Skills for which the highest Damage Type is Elemental cause you to gain 25 Resonance of other Elements per second for 2 seconds<br>Lose 5 Resonance per second of each Element you are not gaining<br>Supported Skills deal 3% more Elemental Damage per 5 of lowest Resonance<br>Supported Skills penetrate (7-16)% Elemental Resistances while each Resonance is at least 25
|level1                                  = True
|level1_level_requirement                = 18
|level1_stat_text                        = Supported Skills penetrate 7% Elemental Resistances while each Resonance is at least 25
|level1_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level1_stat1_value                      = 7
|level2                                  = True
|level2_level_requirement                = 22
|level2_stat_text                        = Supported Skills penetrate 7% Elemental Resistances while each Resonance is at least 25
|level2_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level2_stat1_value                      = 7
|level3                                  = True
|level3_level_requirement                = 26
|level3_stat_text                        = Supported Skills penetrate 8% Elemental Resistances while each Resonance is at least 25
|level3_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level3_stat1_value                      = 8
|level4                                  = True
|level4_level_requirement                = 29
|level4_stat_text                        = Supported Skills penetrate 8% Elemental Resistances while each Resonance is at least 25
|level4_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level4_stat1_value                      = 8
|level5                                  = True
|level5_level_requirement                = 32
|level5_stat_text                        = Supported Skills penetrate 9% Elemental Resistances while each Resonance is at least 25
|level5_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level5_stat1_value                      = 9
|level6                                  = True
|level6_level_requirement                = 35
|level6_stat_text                        = Supported Skills penetrate 9% Elemental Resistances while each Resonance is at least 25
|level6_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level6_stat1_value                      = 9
|level7                                  = True
|level7_level_requirement                = 38
|level7_stat_text                        = Supported Skills penetrate 10% Elemental Resistances while each Resonance is at least 25
|level7_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level7_stat1_value                      = 10
|level8                                  = True
|level8_level_requirement                = 41
|level8_stat_text                        = Supported Skills penetrate 10% Elemental Resistances while each Resonance is at least 25
|level8_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level8_stat1_value                      = 10
|level9                                  = True
|level9_level_requirement                = 44
|level9_stat_text                        = Supported Skills penetrate 11% Elemental Resistances while each Resonance is at least 25
|level9_stat1_id                         = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level9_stat1_value                      = 11
|level10                                 = True
|level10_level_requirement               = 47
|level10_stat_text                       = Supported Skills penetrate 11% Elemental Resistances while each Resonance is at least 25
|level10_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level10_stat1_value                     = 11
|level11                                 = True
|level11_level_requirement               = 50
|level11_stat_text                       = Supported Skills penetrate 12% Elemental Resistances while each Resonance is at least 25
|level11_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level11_stat1_value                     = 12
|level12                                 = True
|level12_level_requirement               = 53
|level12_stat_text                       = Supported Skills penetrate 12% Elemental Resistances while each Resonance is at least 25
|level12_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level12_stat1_value                     = 12
|level13                                 = True
|level13_level_requirement               = 56
|level13_stat_text                       = Supported Skills penetrate 13% Elemental Resistances while each Resonance is at least 25
|level13_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level13_stat1_value                     = 13
|level14                                 = True
|level14_level_requirement               = 58
|level14_stat_text                       = Supported Skills penetrate 13% Elemental Resistances while each Resonance is at least 25
|level14_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level14_stat1_value                     = 13
|level15                                 = True
|level15_level_requirement               = 60
|level15_stat_text                       = Supported Skills penetrate 14% Elemental Resistances while each Resonance is at least 25
|level15_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level15_stat1_value                     = 14
|level16                                 = True
|level16_level_requirement               = 62
|level16_stat_text                       = Supported Skills penetrate 14% Elemental Resistances while each Resonance is at least 25
|level16_stat1_id                        = damage_penetrates_%_elemental_resistances_while_all_resonance_is_25
|level16_stat1_value                     = 14
|level17                                 = True
|level17_level_requirement               = 64
