{{Mod
|id                               = SupportedByAddedFireDamageCorrupted
|mod_groups                       = DisplaySocketedGemsGetAddedFireDamage
|domain                           = 1
|generation_type                  = 5
|required_level                   = 48
|granted_skill                    = SupportAddedFireDamage
|mod_type                         = DisplaySocketedGemsGetAddedFireDamage
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Added Fire Damage Support|Level 12 Added Fire Damage]]
|stat1_id                         = local_display_socketed_gems_get_added_fire_damage_level
|stat1_min                        = 12
|stat1_max                        = 12
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = mace
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
