{{Passive skill
|id                                  = AscendancyCustomJuggernaut7
|int_id                              = 40762
|name                                = Ancestral Reach
|ascendancy_class                    = Juggernaut
|is_notable                          = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = melee_attack_number_of_spirit_strikes
|stat1_value                         = 1
|stat2_id                            = extra_target_targeting_distance_+%
|stat2_value                         = 50
|stat_text                           = Non-Vaal Strike [[Skill|Skills]] target 1 additional [[Nearby|nearby]] Enemy<br>Strike [[Skill|Skills]] which target additional Enemies can do so from 50% further away
}}
