{{Mod
|id                               = ChanceToAvoidLightningDamageEssence4
|domain                           = 1
|generation_type                  = 2
|required_level                   = 42
|name                             = of the Essence
|mod_groups                       = LightningDamageAvoidance
|mod_type                         = LightningDamageAvoidance
|game_mode                        = 0
|stat_text                        = (6-7)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_lightning_damage_%
|stat1_min                        = 6
|stat1_max                        = 7
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, lightning
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
