{{Passive skill
|id                                  = one_handed_physical_leech2353
|int_id                              = 37887
|name                                = Attack Damage and Leech
|icon                                = OneHandedPhysicalAndLeechNode
|stat1_id                            = attack_damage_+%
|stat1_value                         = 12
|stat2_id                            = life_leech_speed_+%
|stat2_value                         = 60
|stat3_id                            = attack_ailment_damage_+%
|stat3_value                         = 12
|stat_text                           = 12% increased [[Attack Damage]]<br>60% increased total Recovery per second from [[Life]] [[Leech]]<br>12% increased Damage with Ailments from [[Attack]] [[Skill|Skills]]
|connections                         = one_handed_physical_leech2355,one_handed_physical_leech2355,one_handed_physical_leech_notable2356
}}
