{{Mod
|id                               = NearbyEnemiesCannotCritUnique__1
|mod_groups                       = CannotCrit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_buff_id                  = high_templar_unique_aura_cannot_crit
|granted_buff_value               = 60
|mod_type                         = NearbyEnemiesCannotCrit
|stat_text                        = {{Radius||6.0m}} Enemies cannot deal [[Critical strike|Critical Strikes]]
|stat1_id                         = local_display_nearby_enemies_cannot_crit
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
