{{Mod
|id                               = SynthesisImplicitFlaskChargesGained3
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = BeltIncreasedFlaskChargesGained
|stat_text                        = (14-15)% increased Flask [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = 14
|stat1_max                        = 15
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
