{{Mod
|id                               = ChanceToFreezeAddedDamageInfluence2
|mod_groups                       = AilmentChanceAddedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Redeemer's
|mod_type                         = ChanceToFreezeAddedDamage
|stat_text                        = Adds (20-26) to (41-48) [[Cold Damage]] against Chilled or [[Freeze|Frozen]] Enemies
|stat1_id                         = global_minimum_added_cold_damage_vs_chilled_or_frozen_enemies
|stat1_min                        = 20
|stat1_max                        = 26
|stat2_id                         = global_maximum_added_cold_damage_vs_chilled_or_frozen_enemies
|stat2_min                        = 41
|stat2_max                        = 48
|spawn_weight1_tag                = ring_eyrie
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, cold, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
