{{Passive skill
|id                                  = AscendancyChieftan16
|int_id                              = 32249
|name                                = Valako, Storm's Embrace
|ascendancy_class                    = Chieftain
|is_notable                          = True
|icon                                = ValakoStormsEmbrace (Chieftain)
|stat1_id                            = modifiers_to_maximum_fire_resistance_apply_to_maximum_cold_and_lightning_resistance
|stat1_value                         = 1
|stat_text                           = Modifiers to Maximum [[Fire Resistance]] also apply to Maximum Cold and [[Lightning Resistance|Lightning Resistances]]
|connections                         = AscendancyChieftan2
}}
