{{Passive skill
|id                                  = AscendancyCustomInquisitor14
|int_id                              = 50314
|name                                = Fever for Corruption
|ascendancy_class                    = Inquisitor
|is_notable                          = True
|icon                                = UltimatumNotable3 (AtlasTrees)
|stat1_id                            = vaal_skill_effect_duration_+%
|stat1_value                         = 50
|stat2_id                            = vaal_skill_soul_requirement_+%
|stat2_value                         = -50
|stat_text                           = 50% increased Vaal [[Skill]] Effect Duration<br>Vaal [[Skill|Skills]] require 50% reduced Souls per Use
}}
