{{Mod
|id                               = MinionDamageRingInfluence2_
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Redeemer's
|mod_groups                       = MinionDamage
|mod_type                         = MinionDamage
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] deal (18-21)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 18
|stat1_max                        = 21
|spawn_weight1_tag                = ring_eyrie
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod, damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
