{{Mod
|id                               = EinharMasterAddedFireDamageQuiver2
|mod_groups                       = FireDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 40
|name                             = Upgraded
|mod_type                         = FireDamage
|stat_text                        = Adds (19-23) to (37-42) [[Fire Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_fire_damage
|stat1_min                        = 19
|stat1_max                        = 23
|stat2_id                         = attack_maximum_added_fire_damage
|stat2_min                        = 37
|stat2_max                        = 42
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
