{{Mod
|id                               = NonExertedAttacksNoDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ExertedAttackDamage
|mod_type                         = NonExertedAttacksNoDamage
|game_mode                        = 0
|stat_text                        = Non-Exerted [[Attack|Attacks]] deal no Damage
|stat1_id                         = non_exerted_attacks_deal_no_damage
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
