{{Mod
|id                               = SpellsDoubleDamageChanceUnique__1
|mod_groups                       = DoubleDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellsDoubleDamageChance
|stat_text                        = [[Spell|Spells]] have a 20% chance to deal Double Damage
|stat1_id                         = spell_chance_to_deal_double_damage_%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = caster_damage, damage, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
