{{Mod
|id                               = SynthesisImplicitFlatFireDamageTaken2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_groups                       = FireDamageTaken
|mod_type                         = FlatFireDamageTaken
|game_mode                        = 0
|stat_text                        = -(40-16) [[Fire Damage]] taken from [[Hit|Hits]]
|stat1_id                         = fire_damage_taken_+
|stat1_min                        = -40
|stat1_max                        = -16
|tags                             = elemental, fire
}}
