{{Mod
|id                               = SpellAddedLightningDamageUnique__6_
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellAddedLightningDamage
|stat_text                        = Adds (13-18) to (50-56) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 13
|stat1_max                        = 18
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 50
|stat2_max                        = 56
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
