{{Mod
|id                               = AddedFireDamageUniqueQuiver1a
|mod_groups                       = FireDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireDamageWithBows
|stat_text                        = 5 to 10 Added [[Fire Damage]] with [[Bow]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_fire_damage_with_bow
|stat1_min                        = 5
|stat1_max                        = 5
|stat2_id                         = attack_maximum_added_fire_damage_with_bow
|stat2_min                        = 10
|stat2_max                        = 10
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
