{{Mod
|id                               = AddedChaosDamageCorrupted2
|mod_groups                       = ChaosDamage
|domain                           = 1
|generation_type                  = 5
|required_level                   = 20
|mod_type                         = ChaosDamage
|stat_text                        = Adds (3-4) to (6-8) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 3
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 6
|stat2_max                        = 8
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
