{{Passive skill
|id                                  = AscendancyRaider4
|int_id                              = 16848
|name                                = Oath of Winter
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = WardenColdAilments (Warden)
|stat1_id                            = freeze_minimum_duration_X_ms
|stat1_value                         = 2000
|stat2_id                            = hoarfrost_on_non_freezing_freezing_hit
|stat2_value                         = 1
|stat_text                           = Enemies you [[Freeze]] remain [[Freeze|Frozen]] for at least 2 seconds<br>[[Hit|Hits]] that fail to [[Freeze]] due to insufficient [[Freeze]] Duration inflict Hoarfrost
|connections                         = AscendancyRaider15,AscendancyRaider1
}}
