{{Mod
|id                               = DoedresSkinLessCurseEffectUnique__1
|mod_groups                       = DoedresSkinLessCurseEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DoedresSkinLessCurseEffect
|stat_text                        = 20% less Effect of your [[Curse|Curses]]
|stat1_id                         = curse_pillar_curse_effect_+%_final
|stat1_min                        = -20
|stat1_max                        = -20
}}
