{{Mod
|id                               = ElementalCritChanceJewel
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Apocalypse
|mod_groups                       = ElementalCritChance
|mod_type                         = ElementalCritChanceForJewel
|game_mode                        = 0
|stat_text                        = (10-14)% increased [[Critical Strike Chance]] with Elemental [[Skill|Skills]]
|stat1_id                         = elemental_critical_strike_chance_+%
|stat1_min                        = 10
|stat1_max                        = 14
|spawn_weight1_tag                = default
|spawn_weight1_value              = 100
|tags                             = elemental, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
