{{Mod
|id                               = AvoidShockInfluenceMaven
|mod_groups                       = AvoidShock
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of the Elevated Crusade
|mod_type                         = AvoidShock
|stat_text                        = (71-80)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 71
|stat1_max                        = 80
|spawn_weight1_tag                = boots_crusader
|spawn_weight1_value              = 0
|spawn_weight2_tag                = quiver_crusader
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
