{{Mod
|id                               = HellscapeUpsideMinionBlockSpells4
|mod_groups                       = MinionBlockChance
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = MinionSpellBlockChance
|stat_text                        = [[Minion|Minions]] have +(17-19)% Chance to [[Block]] [[Spell Damage]]
|stat1_id                         = minion_additional_spell_block_%
|stat1_min                        = 17
|stat1_max                        = 19
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = block, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
