{{Base item
|rarity_id                               = normal
|name                                    = The Enforcer
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Boss said to get rid of him, didn't say not to make a mess."<br>- Rune The Goon
|drop_level                              = 80
|tags                                    = armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheEnforcer
|stack_size                              = 4
|description                             = {{c|magic|Spiked Gloves of the Conquest (Culling Strike)}}<br>{{c|default|Item Level:}} {{c|normal|86}}<br>{{c|default|Warlord Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
