{{Mod
|id                               = AzmeriTigerAllyFrenzyOnHit
|mod_groups                       = GrantAlliesFrenzyChargeOnHit
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = GrantAlliesFrenzyChargeOnHit
|stat_text                        = 5% chance to grant a [[Frenzy Charge]] to [[Nearby|nearby]] Allies on [[Hit]] (Hidden)
|stat1_id                         = chance_to_grant_frenzy_charge_to_nearby_allies_on_hit_%
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
