{{Passive skill
|id                                  = AscendancyCustomChampion9
|int_id                              = 46492
|name                                = Bring the Battle
|ascendancy_class                    = Champion
|is_notable                          = True
|icon                                = OneHandedPhysicalAndLeechNotable
|stat1_id                            = warcries_have_infinite_power
|stat1_value                         = 100
|stat2_id                            = taunted_enemies_damage_taken_+%
|stat2_value                         = 20
|stat3_id                            = taunted_enemies_damage_+%_final_vs_non_taunt_target
|stat3_value                         = -20
|stat_text                           = Warcries have infinite Power<br>Enemies Taunted by you take 20% increased Damage<br>Enemies Taunted by you deal 20% less Damage with [[Hit|Hits]] and<br />Ailments against other targets
}}
