{{Mod
|id                               = ManaReservationPerAttributeUnique__1
|mod_groups                       = ManaReservationReduced
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ManaReservationPerAttribute
|stat_text                        = 2% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]] per 250 total Attributes
|stat1_id                         = mana_reservation_efficiency_-2%_per_250_total_attributes
|stat1_min                        = -1
|stat1_max                        = -1
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
