{{Passive skill
|id                                  = affliction_notable_disciples
|int_id                              = 24357
|name                                = Disciples
|is_notable                          = True
|icon                                = MinionDmgHeraldSkillsNotable
|stat1_id                            = minion_damage_+%_while_affected_by_a_herald
|stat1_value                         = 20
|stat2_id                            = sentinel_minion_cooldown_speed_+%
|stat2_value                         = 25
|stat_text                           = [[Minion|Minions]] deal 20% increased Damage while you are affected by a Herald<br>Summoned Sentinels have 25% increased Cooldown Recovery Rate
}}
