{{Mod
|id                               = ChanceToIgniteWithChaosSkillsUnique__1
|mod_groups                       = ChanceToIgniteWithChaosSkills
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToIgniteWithChaosSkills
|stat_text                        = Chaos [[Skill|Skills]] have 20% chance to [[Ignite]]
|stat1_id                         = chaos_skill_chance_to_ignite_%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = poison, elemental, fire, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
