{{Mod
|id                               = FireballThresholdJewel__3
|mod_groups                       = FireballThresholdJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireballThresholdJewel3
|stat_text                        = With at least 40 [[Intelligence]] in Radius, [[Fireball]] cannot [[Ignite|ignite]]<br>With at least 40 [[Intelligence]] in Radius, [[Fireball]] has +(30-50)% chance to inflict scorch
|stat1_id                         = local_jewel_fireball_cannot_ignite
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = local_jewel_fireball_chance_to_scorch_%
|stat2_min                        = 30
|stat2_max                        = 50
|stat3_id                         = local_jewel_effect_base_radius
|stat3_min                        = 1200
|stat3_max                        = 1200
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
