{{Passive skill
|id                                  = arrow_dodging1183
|int_id                              = 54922
|name                                = Arrow Dancing
|flavour_text                        = Let the whistling of arrows and stones be your music.
|is_keystone                         = True
|icon                                = KeystoneArrowDodging
|stat1_id                            = keystone_projectile_evasion
|stat1_value                         = 1
|stat_text                           = [[Evasion Rating]] is Doubled against Projectile Attacks<br />25% less [[Evasion Rating]] against Melee [[Attack|Attacks]]
|connections                         = dexterity861
}}
