{{Base item
|rarity_id                               = normal
|name                                    = Soul Quenched
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Weapons such as these require a darker kind of forge...
|drop_level                              = 73
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardSoulQuenched
|stack_size                              = 5
|description                             = {{c|rare| Experimented Two-Handed Weapon}}<br>{{c|default|Item Level:}} {{c|normal|86}}<br>{{c|default|Quality:}} {{c|augmented|+30%}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
