{{Mod
|id                               = CurseAreaOfEffectDelve
|mod_groups                       = CurseAreaOfEffect
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_type                         = CurseAreaOfEffect
|stat_text                        = (25-40)% increased Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = 25
|stat1_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
