{{Mod
|id                               = WeaponTreeMinionGemLevel2h
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 31
|required_level                   = 10
|mod_type                         = WeaponTreeLocalIncreaseSocketedMinionGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Minion]] Gems
|stat1_id                         = local_socketed_minion_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 10000
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 10000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
