{{Mod
|id                               = StealChargesOnHitPercentUnique__1
|mod_groups                       = StealCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = StealChargesOnHitPercent
|stat_text                        = Steal Power, Frenzy, and [[Endurance Charge|Endurance Charges]] on [[Hit]]
|stat1_id                         = base_steal_power_frenzy_endurance_charges_on_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = endurance_charge, frenzy_charge, power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
