{{Mod
|id                               = EinharMasterFireAndLightningResist2
|mod_groups                       = FireAndLightningResistance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 50
|name                             = of Craft
|mod_type                         = FireAndLightningResistance
|stat_text                        = +(13-16)% to Fire and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = fire_and_lightning_damage_resistance_%
|stat1_min                        = 13
|stat1_max                        = 16
|tags                             = elemental, fire, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
