{{Base item
|rarity_id                               = normal
|name                                    = Triskaidekaphobia
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The Mists of Madness prey on those who harbour the deepest of fears.
|drop_level                              = 80
|tags                                    = maps_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTriskaidekaphobia
|stack_size                              = 13
|description                             = {{c|rare|Map}}<br>{{c|default|Map Tier:}} {{c|normal|13}}<br>{{c|default|Quality:}} {{c|augmented|+13%}}<br>{{c|default|Delirium:}} {{c|normal|100%}}<br>{{c|default|Modifiers:}} {{c|normal|8}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
