{{Mod
|id                               = AfflictionJewelSmallPassivesGrantLife_
|mod_groups                       = AfflictionJewelSmallPassivesGrantLife
|domain                           = 21
|generation_type                  = 1
|required_level                   = 1
|name                             = Hale
|mod_type                         = AfflictionJewelSmallPassivesGrantLife
|stat_text                        = Added Small Passive [[Skill|Skills]] also grant: +(2-3) to Maximum [[Life]]
|stat1_id                         = local_affliction_jewel_small_nodes_grant_maximum_life
|stat1_min                        = 2
|stat1_max                        = 3
|spawn_weight1_tag                = expansion_jewel_large
|spawn_weight1_value              = 500
|spawn_weight2_tag                = expansion_jewel_medium
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, life
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
