{{Mod
|id                               = RageOnHitWithMeleeAbyssJewelUnique__1
|mod_groups                       = RageOnHitWithMeleeAbyssJewel
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = RageOnHitWithMeleeAbyssJewel
|stat_text                        = With a Murderous Eye Jewel Socketed, Melee [[Attack|Attacks]] grant 1 Rage on Hit, no more than once every second
|stat1_id                         = local_gain_X_rage_on_attack_hit_with_melee_abyss_jewel_socketed
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
