{{Mod
|id                               = SynthesisImplicitMinionMovementSpeed1
|mod_groups                       = MinionMovementSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = MinionMovementSpeed
|stat_text                        = [[Minion|Minions]] have (4-5)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 4
|stat1_max                        = 5
|tags                             = speed, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
