{{Mod
|id                               = CorruptedMagicJewelModEffectUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CorruptedMagicJewelModEffect
|mod_type                         = CorruptedMagicJewelModEffect
|game_mode                        = 0
|stat_text                        = (0-100)% increased Effect of Jewel [[Item socket|Socket]] [[Passive skill|Passive Skills]] containing Corrupted Magic Jewels
|stat1_id                         = local_unique_jewel_passive_jewel_socket_mod_effect_+%_with_corrupted_magic_jewel_socketed
|stat1_min                        = 0
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
