{{Mod
|id                               = Curse50PercentCurseEffectUnique__1
|mod_groups                       = CurseThresholdProperties
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = Curse50PercentCurseEffect
|stat_text                        = Your [[Curse|Curses]] have 25% increased Effect if 50% of [[Curse]] Duration expired
|stat1_id                         = while_curse_is_50%_expired_curse_effect_+%
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
