{{Passive skill
|id                                  = affliction_notable_steady_torment
|int_id                              = 47424
|name                                = Steady Torment
|is_notable                          = True
|icon                                = ChaosDamageOverTimeNotable
|stat1_id                            = bleeding_dot_multiplier_+_vs_poisoned_enemies
|stat1_value                         = 6
|stat2_id                            = poison_dot_multiplier_+_vs_bleeding_enemies
|stat2_value                         = 6
|stat3_id                            = base_bleed_duration_+%
|stat3_value                         = 15
|stat4_id                            = base_poison_duration_+%
|stat4_value                         = 15
|stat_text                           = +6% to Damage over Time Multiplier for Bleeding you inflict on [[Poison|Poisoned]] Enemies<br>+6% to Damage over Time Multiplier for [[Poison]] you inflict on Bleeding Enemies<br>15% increased Bleeding Duration<br>15% increased [[Poison]] Duration
}}
