{{Mod
|id                               = SynthesisImplicitFlaskChargesGained2
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = BeltIncreasedFlaskChargesGained
|stat_text                        = (12-13)% increased Flask [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = 12
|stat1_max                        = 13
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
