{{Base item
|rarity_id                               = normal
|name                                    = Guardian's Challenge
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = To accept a challenge from the void is merely suicide for the unprepared.
|drop_level                              = 81
|tags                                    = shaper_divination, maps_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardGuardiansChallenge
|stack_size                              = 4
|description                             = {{c|white|Shaper Guardian Map}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
