{{Mod
|id                               = V2AvoidChillAndFreezeJewelCorrupted
|mod_groups                       = ChanceToAvoidFreezeAndChill
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ChanceToAvoidFreezeAndChill
|stat_text                        = (20-25)% chance to Avoid being Chilled<br>(20-25)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_chill_%
|stat1_min                        = 20
|stat1_max                        = 25
|stat2_id                         = base_avoid_freeze_%
|stat2_min                        = 20
|stat2_max                        = 25
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
