{{Passive skill
|id                                  = AscendancyGladiator1
|int_id                              = 33179
|name                                = Attack Speed, Bleed Chance
|ascendancy_class                    = Gladiator
|icon                                = GLADOneHand (Gladiator)
|stat1_id                            = attack_speed_+%
|stat1_value                         = 5
|stat2_id                            = bleed_on_hit_with_attacks_%
|stat2_value                         = 15
|stat_text                           = 5% increased [[Attack Speed]]<br>[[Attack|Attacks]] have 15% chance to cause Bleeding
|connections                         = AscendancyGladiator8,AscendancyGladiator7,AscendancyGladiator8
}}
