{{Passive skill
|id                                  = AscendancyCustomElementalist7
|int_id                              = 20602
|name                                = Coming Calamity
|ascendancy_class                    = Elementalist
|is_notable                          = True
|icon                                = HeraldDamageNotable
|stat1_id                            = base_your_auras_are_disabled
|stat1_value                         = 1
|stat2_id                            = herald_skills_mana_reservation_efficiency_+%
|stat2_value                         = 200
|stat_text                           = Your Aura [[Skill|Skills]] are Disabled<br>200% increased [[Mana Reservation]] Efficiency of Herald [[Skill|Skills]]
}}
