{{Passive skill
|id                                  = minion_damage_notable2621
|int_id                              = 29381
|name                                = Ravenous Horde
|is_notable                          = True
|icon                                = DamageofMinionsNotable
|stat1_id                            = minion_movement_speed_+%
|stat1_value                         = 30
|stat2_id                            = minion_chance_to_gain_onslaught_on_kill_for_4_seconds_%
|stat2_value                         = 30
|stat_text                           = [[Minion|Minions]] have 30% increased [[Movement Speed]]<br>[[Minion|Minions]] have 30% chance to gain Onslaught for 4 seconds on [[Kill]]
|connections                         = mastery_miniondefence179,minion_damage2620
}}
