{{Mod
|id                               = AddedFireDamageUniqueGlovesInt1
|mod_groups                       = FireDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireDamage
|stat_text                        = Adds 4 to 8 [[Fire Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_fire_damage
|stat1_min                        = 4
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_fire_damage
|stat2_min                        = 8
|stat2_max                        = 8
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
