{{Mod
|id                               = MercenaryModMaxBlades
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Infamous
|mod_groups                       = MaxBlades
|mod_type                         = MaxBlades
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] that leave Lingering Blades have +(5-10) to Maximum Lingering Blades
|stat1_id                         = maximum_number_of_blades_left_in_ground
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
