{{Passive skill
|id                                  = affliction_notable_insulated
|int_id                              = 54798
|name                                = Insulated
|is_notable                          = True
|icon                                = LightningResistNotable
|stat1_id                            = base_lightning_damage_resistance_%
|stat1_value                         = 20
|stat2_id                            = base_avoid_shock_%
|stat2_value                         = 30
|stat3_id                            = base_maximum_lightning_damage_resistance_%
|stat3_value                         = 1
|stat_text                           = +20% to [[Lightning Resistance]]<br>30% chance to Avoid being [[Shock|Shocked]]<br>+1% to maximum [[Lightning Resistance]]
}}
