{{Mod
|id                               = ElementalDamageLowestResistUnique__1
|mod_groups                       = ElementalDamageLowestResist
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ElementalDamageLowestResist
|stat_text                        = [[Elemental Damage]] you Deal with [[Hit|Hits]] is Resisted by lowest [[Elemental Resistance]] instead
|stat1_id                         = elemental_damage_resisted_by_lowest_elemental_resistance
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
