{{Passive skill
|id                                  = AscendancyBerserker10
|int_id                              = 38999
|name                                = Ancestral Fury
|ascendancy_class                    = Berserker
|is_notable                          = True
|icon                                = Blitz (Berserker)
|stat1_id                            = melee_strike_skill_strike_previous_location
|stat1_value                         = 1
|stat_text                           = Strike [[Skill|Skills]] also target the previous location they were used
|connections                         = AscendancyBerserker3
}}
