{{Passive skill
|id                                  = affliction_notable_rapid_infusion
|int_id                              = 45935
|name                                = Unrestrained Focus
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = unaffected_by_chill_while_channelling
|stat1_value                         = 1
|stat2_id                            = attack_and_cast_speed_+%_with_channelling_skills
|stat2_value                         = 8
|stat_text                           = Unaffected by [[Chill]] while Channelling<br>Channelling [[Skill|Skills]] have 8% increased [[Attack]] and [[Cast Speed]]
}}
