{{Mod
|id                               = StrIntMasterFireAndColdResistCrafted
|mod_groups                       = FireAndColdResistance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 35
|name                             = of the Chimaera
|mod_type                         = FireAndColdResistance
|stat_text                        = +(8-13)% to Fire and [[Cold Resistance|Cold Resistances]]
|stat1_id                         = fire_and_cold_damage_resistance_%
|stat1_min                        = 8
|stat1_max                        = 13
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, fire, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
