{{Mod
|id                               = LocalIncreaseSocketedMinionGemLevel1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 14
|name                             = Reanimator's
|mod_type                         = LocalIncreaseSocketedMinionGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Minion]] Gems
|stat1_id                         = local_socketed_minion_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = minion, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
