{{Mod
|id                               = ChaosGolemBuffEffectEldritchImplicit3
|mod_groups                       = GolemBuffEffect
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = ChaosGolemBuffEffect
|stat_text                        = (37-39)% increased Effect of the Buff granted by your [[Summon Chaos Golem|Chaos Golems]]
|stat1_id                         = base_chaos_golem_granted_buff_effect_+%
|stat1_min                        = 37
|stat1_max                        = 39
|spawn_weight1_tag                = no_tier_4_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = boots
|spawn_weight2_value              = 300
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
