{{Mod
|id                               = WeaponTreeMineAuraEffect1
|mod_groups                       = WeaponTreeMineAuraEffect
|domain                           = 1
|generation_type                  = 31
|required_level                   = 1
|mod_type                         = WeaponTreeMineAuraEffect
|stat_text                        = 25% increased Effect of Auras from [[Mine|Mines]]<br>[[Skill|Skills]] used by [[Mine|Mines]] have 40% reduced Area of Effect
|stat1_id                         = mine_aura_effect_+%
|stat1_min                        = 25
|stat1_max                        = 25
|stat2_id                         = mine_area_of_effect_+%
|stat2_min                        = -40
|stat2_max                        = -40
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = attack_dagger
|spawn_weight3_value              = 0
|spawn_weight4_tag                = wand
|spawn_weight4_value              = 250
|spawn_weight5_tag                = sceptre
|spawn_weight5_value              = 250
|spawn_weight6_tag                = dagger
|spawn_weight6_value              = 250
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
}}
