{{Mod
|id                               = FlaskLifeRecoveryAlliesUnique__1_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskLifeRecovery
|mod_type                         = FlaskLifeRecoveryAllies
|game_mode                        = 0
|stat_text                        = 100% of [[Life]] Recovery from [[Flask|Flasks]] is applied to [[Nearby|nearby]] Allies instead of You
|stat1_id                         = life_recovery_from_flasks_instead_applies_to_nearby_allies_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
