{{Mod
|id                               = V2SupportedByBloodmagicCorrupted
|mod_groups                       = SupportedByBloodMagic
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|granted_skill                    = SupportLifetap
|mod_type                         = SocketedGemsSupportedByLifetap
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 1 Lifetap
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_lifetap
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = mace
|spawn_weight1_value              = 0
|spawn_weight2_tag                = sword
|spawn_weight2_value              = 0
|spawn_weight3_tag                = bow
|spawn_weight3_value              = 0
|spawn_weight4_tag                = staff
|spawn_weight4_value              = 0
|spawn_weight5_tag                = two_hand_weapon
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = skill, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
