{{Passive skill
|id                                  = affliction_notable_enduring_focus
|int_id                              = 46264
|name                                = Enduring Focus
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = channelled_skill_damage_+%
|stat1_value                         = 25
|stat2_id                            = %_chance_to_gain_endurance_charge_each_second_while_channelling
|stat2_value                         = 25
|stat_text                           = Channelling [[Skill|Skills]] deal 25% increased Damage<br>25% chance to gain an [[Endurance Charge]] each second while Channelling
}}
