{{Mod
|id                               = SocketedGemQualityUnique__2_
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 57
|mod_type                         = SocketedGemQuality
|stat_text                        = +30% to Quality of [[Item socket|Socketed]] Gems
|stat1_id                         = local_socketed_gem_quality_+
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
