{{Passive skill
|id                                  = AscendancyCustomGladiator10
|int_id                              = 5523
|name                                = Spectacular Parlay
|ascendancy_class                    = Gladiator
|is_notable                          = True
|icon                                = BoldUndertaking (AtlasTrees)
|stat1_id                            = base_extra_damage_rolls
|stat1_value                         = -1
|stat2_id                            = extra_critical_rolls
|stat2_value                         = 1
|stat_text                           = Damage with [[Hit|Hits]] is [[Unlucky]]<br>Your [[Critical Strike Chance]] is [[Lucky]]
}}
